Date;Close;
26/07/2019;9843;
25/07/2019;9890;
24/07/2019;9771;
23/07/2019;9855;
22/07/2019;10329;
21/07/2019;10569;
20/07/2019;10740;
19/07/2019;10519;
18/07/2019;10622;
17/07/2019;9683;
16/07/2019;9410;
15/07/2019;10820;
14/07/2019;10207;
13/07/2019;11312;
12/07/2019;11765;
11/07/2019;11340;
10/07/2019;12093;
09/07/2019;12553;
08/07/2019;12301;
07/07/2019;11486;
06/07/2019;11283;
05/07/2019;10998;
04/07/2019;11169;
03/07/2019;11984;
02/07/2019;10866;
01/07/2019;10639;
30/06/2019;10745;
29/06/2019;11921;
28/06/2019;12349;
27/06/2019;11200;
26/06/2019;12876;
25/06/2019;11751;
24/06/2019;11053;
23/06/2019;10916;
22/06/2019;10748;
21/06/2019;10236;
20/06/2019;9557;
19/06/2019;9306;
18/06/2019;9096;
17/06/2019;9356;
16/06/2019;8986;
15/06/2019;8856;
14/06/2019;8689;
13/06/2019;8227;
12/06/2019;8175;
11/06/2019;7904;
10/06/2019;8014;
09/06/2019;7639;
08/06/2019;7925;
07/06/2019;7992;
06/06/2019;7806;
05/06/2019;7789;
04/06/2019;7693;
03/06/2019;8103;
02/06/2019;8740;
01/06/2019;8547;
31/05/2019;8533;
30/05/2019;8270;
29/05/2019;8681;
28/05/2019;8741;
27/05/2019;8806;
26/05/2019;8730;
25/05/2019;8055;
24/05/2019;7995;
23/05/2019;7872;
22/05/2019;7621;
21/05/2019;7937;
20/05/2019;7985;
19/05/2019;8190;
18/05/2019;7260;
17/05/2019;7415;
16/05/2019;7857;
15/05/2019;8133;
14/05/2019;7958;
13/05/2019;7753;
12/05/2019;6980;
11/05/2019;7136;
10/05/2019;6439;
09/05/2019;6258;
08/05/2019;6201;
07/05/2019;6088;
06/05/2019;6028;
05/05/2019;6042;
04/05/2019;6098;
03/05/2019;6016;
02/05/2019;5724;
01/05/2019;5630;
30/04/2019;5600;
29/04/2019;5480;
28/04/2019;5487;
27/04/2019;5402;
26/04/2019;5411;
25/04/2019;5219;
24/04/2019;5480;
23/04/2019;5551;
22/04/2019;5418;
21/04/2019;5322;
20/04/2019;5340;
19/04/2019;5314;
18/04/2019;5311;
17/04/2019;5255;
16/04/2019;5234;
15/04/2019;5049;
14/04/2019;5194;
13/04/2019;5102;
12/04/2019;5114;
11/04/2019;5066;
10/04/2019;5312;
09/04/2019;5216;
08/04/2019;5313;
07/04/2019;5238;
06/04/2019;5091;
05/04/2019;5080;
04/04/2019;4939;
03/04/2019;4978;
02/04/2019;4927;
01/04/2019;4197;
31/03/2019;4168;
30/03/2019;4165;
29/03/2019;4179;
28/03/2019;4093;
27/03/2019;4103;
26/03/2019;3992;
25/03/2019;3970;
24/03/2019;4041;
23/03/2019;4063;
22/03/2019;4045;
21/03/2019;4045;
20/03/2019;4127;
19/03/2019;4105;
18/03/2019;4074;
17/03/2019;4069;
16/03/2019;4088;
15/03/2019;4003;
14/03/2019;3948;
13/03/2019;3948;
12/03/2019;3954;
11/03/2019;3949;
10/03/2019;4000;
09/03/2019;4017;
08/03/2019;3941;
07/03/2019;3965;
06/03/2019;3951;
05/03/2019;3952;
04/03/2019;3800;
03/03/2019;3885;
02/03/2019;3913;
01/03/2019;3914;
28/02/2019;3894;
27/02/2019;3903;
26/02/2019;3897;
25/02/2019;3922;
24/02/2019;3832;
23/02/2019;4212;
22/02/2019;4058;
21/02/2019;4009;
20/02/2019;4055;
19/02/2019;3990;
18/02/2019;3978;
17/02/2019;3735;
16/02/2019;3676;
15/02/2019;3670;
14/02/2019;3657;
13/02/2019;3666;
12/02/2019;3694;
11/02/2019;3681;
10/02/2019;3746;
09/02/2019;3718;
08/02/2019;3724;
07/02/2019;3436;
06/02/2019;3452;
05/02/2019;3513;
04/02/2019;3491;
03/02/2019;3502;
02/02/2019;3564;
01/02/2019;3536;
31/01/2019;3501;
30/01/2019;3530;
29/01/2019;3478;
28/01/2019;3502;
27/01/2019;3597;
26/01/2019;3631;
25/01/2019;3629;
24/01/2019;3653;
23/01/2019;3620;
22/01/2019;3639;
21/01/2019;3579;
20/01/2019;3586;
19/01/2019;3760;
18/01/2019;3676;
17/01/2019;3723;
16/01/2019;3671;
15/01/2019;3657;
14/01/2019;3749;
13/01/2019;3591;
12/01/2019;3702;
11/01/2019;3716;
10/01/2019;3713;
09/01/2019;4083;
08/01/2019;4100;
07/01/2019;4114;
06/01/2019;4172;
05/01/2019;3911;
04/01/2019;3955;
03/01/2019;3923;
02/01/2019;4049;
01/01/2019;3963;
31/12/2018;3831;
30/12/2018;3978;
29/12/2018;3887;
28/12/2018;4037;
27/12/2018;3715;
26/12/2018;3930;
25/12/2018;3910;
24/12/2018;4145;
23/12/2018;4076;
22/12/2018;4135;
21/12/2018;3976;
20/12/2018;4215;
19/12/2018;3810;
18/12/2018;3780;
17/12/2018;3625;
16/12/2018;3300;
15/12/2018;3285;
14/12/2018;3283;
13/12/2018;3354;
12/12/2018;3536;
11/12/2018;3435;
10/12/2018;3525;
09/12/2018;3640;
08/12/2018;3506;
07/12/2018;3460;
06/12/2018;3531;
05/12/2018;3765;
04/12/2018;3982;
03/12/2018;3901;
02/12/2018;4160;
01/12/2018;4243;
30/11/2018;4038;
29/11/2018;4313;
28/11/2018;4306;
27/11/2018;3884;
26/11/2018;3858;
25/11/2018;4088;
24/11/2018;3930;
23/11/2018;4423;
22/11/2018;4392;
21/11/2018;4667;
20/11/2018;4600;
19/11/2018;4938;
18/11/2018;5659;
17/11/2018;5627;
16/11/2018;5661;
15/11/2018;5753;
14/11/2018;5885;
13/11/2018;6464;
12/11/2018;6447;
11/11/2018;6450;
10/11/2018;6431;
09/11/2018;6420;
08/11/2018;6480;
07/11/2018;6573;
06/11/2018;6515;
